annotated,correction,host,broad,order
anas_georgica,yellow-billed_pintail,avian,duck,anseriformes
american_widgeon,American_wigeon,avian,duck,anseriformes
chen_canagica,emperor_goose,avian,goose,anseriformes
larus_glaucescens,glaucous-winged_gull,avian,gull,neoave
blue_winged-teal,blue-winged_teal,avian,duck,anseriformes
larus_argentatus,European_herring_gull,avian,gull,neoave
melanitta_nigra,common_scoter,avian,duck,anseriformes
coturnix,quail,avian,quail,galliformes
leucophaeus_atricilla,laughing_gull,avian,gull,neoave
somateria_fischeri,spectacled_eider,avian,eider,neoave
wedge-tailed_shearwater,shearwater,avian,shearwater,neoave
domestic_green-winged_teal,domestic_green-winged_teal,avian,duck,anseriformes
bewick_swan,bewicks_swan,avian,swan,anseriformes
red-fronted_coot,red-fronted_coot,avian,coot,neoave
turnstone,ruddy_turnstone,avian,wader,neoave
tadorna_tadorna,common_shelduck,avian,duck,anseriformes
bucephala_albeola,bufflehead,avian,duck,anseriformes
red_crested_pochard,red-crested_pochard,avian,duck,anseriformes
chroicocephalus_ridibundus,laughing_gull,avian,gull,neoave
hooded_merganser,hooded_merganser,avian,duck,anseriformes
pacific_golden_plover,pacific_golden_plover,avian,wader,neoave
paradise_shelduck,paradise_shelduck,avian,duck,anseriformes
dog,canine,canine,canine,neoave
spatula_discors,blue-winged_teal,avian,duck,anseriformes
anatidae,duck,avian,duck,anseriformes
Mareca_penelope,Eurasian_wigeon,avian,duck,anseriformes
Aythya_affinis,lesser_scaup,avian,duck,anseriformes
Spatula_cyanoptera,cinnamon_teal,avian,duck,anseriformes
Meleagris_gallopavo,wild_turkey,avian,turkey,galliformes
Pygoscelis_papua,penguin,avian,penguin,neoave
Sterna_paradisaea,arctic_tern,avian,tern,neoave
Rufous_Turtle_Dove,dove,avian,dove,neoave
blue_winged_teal,blue-winged_teal,avian,duck,anseriformes
Neovison_vison,mink,mink,mink,mink
Phoca_vitulina,seal,seal,seal,seal
american_mink,mink,mink,mink,mink
American_black_duck,American_black_duck,avian,duck,anseriformes
neogale_vison,mink,mink,mink,mink
aves,avian,avian,avian,avian
Baikal_teal,baikal_teal,avian,duck,anseriformes
Eurasian_curlew,eurasian_curlew,avian,wader,neoave
Blue-winged_teal,blue-winged_teal,avian,duck,anseriformes
Ruddy_turnstone,ruddy_turnstone,avian,duck,anseriformes
Northern_pintail,northern_pintail,avian,duck,anseriformes
Cinnamon_Teal,cinnamon_teal,avian,duck,anseriformes
gull,gull,avian,gull,neoave
Northern_shoveler,northern_shoveler,avian,duck,anseriformes
greylag_goose,greylag_goose,avian,goose,anseriformes
green-winged_teal,green-winged_teal,avian,duck,anseriformes
teal,teal,avian,duck,anseriformes
Columbidae,pigeon,avian,pigeon,neoave
